Queens Rolling Sales File.  All Sales From February 2016 - January 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/26/2016,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,61, ,A5,21-21 80TH   STREET, ,11370, 1 , -   , 1 ," 1,800 "," 1,224 ",1950,1,A5," $660,000 ",7/26/2016
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS                    ,1,976,63, ,A5,21-17 80TH   STREET, ,11370, 1 , -   , 1 ," 1,800 "," 1,224 ",1950,1,A5," $275,500 ",11/18/2016
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS                    ,1,976,70, ,B1,21-03 80TH   STREET, ,11370, 2 , -   , 2 ," 1,800 "," 1,224 ",1950,1,B1, $-   ,6/13/2016
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS                  ,1,949,15, ,C0,19-08 81ST   STREET, ,11370, 3 , -   , 3 ," 2,112 "," 4,300 ",1985,1,C0," $940,000 ",4/14/2016
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS                  ,1,949,56, ,C0,19-69 80TH   STREET, ,11370, 3 , -   , 3 ," 2,000 "," 2,835 ",1945,1,C0, $-   ,8/15/2016
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS                  ,1,949,59, ,C0,19-63 80TH STREET, ,11370, 3 , -   , 3 ," 2,000 "," 2,835 ",1945,1,C0," $470,000 ",4/15/2016
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS              ,2,949,1012, ,R2,19-45 80TH   STREET,2,11370, 1 , -   , 1 , -   , -   ,0,2,R2," $425,000 ",1/17/2017
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS              ,2,949,1025, ,R2,80-10 19TH   AVENUE,1,11370, 1 , -   , 1 , -   , -   ,0,2,R2," $329,000 ",11/15/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15828,53, ,A1,303 BEACH 38TH STREET, ,11691, 1 , -   , 1 ," 3,810 "," 1,200 ",2002,1,A1," $273,710 ",2/29/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15829,22, ,A1,332 BEACH 40TH STREET, ,11691, 1 , -   , 1 ," 2,670 "," 1,480 ",2005,1,A1," $310,000 ",8/18/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15830,20, ,A1,320 BEACH 41 STREET, ,11691, 1 , -   , 1 ," 2,469 "," 1,476 ",2005,1,A1," $369,046 ",10/27/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15830,42, ,A2,341 BEACH 40TH STREET, ,11691, 1 , -   , 1 ," 1,766 "," 1,521 ",1920,1,A2, $-   ,2/8/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15830,60, ,A6,319 BEACH 40 STREET, ,11691, 1 , -   , 1 ," 2,170 ", 480 ,1920,1,A6," $46,335 ",4/4/2016
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15831,24, ,A2,331 BEACH 41ST STREET, ,11691, 1 , -   , 1 ," 3,804 "," 1,600 ",1930,1,A2," $359,000 ",5/4/2016
