"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"5",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3039,36,NA,"S1","455 EAST 184 STREET                      ","            ",10458,1,1,2,2500,2452,1910,1,"S1","$ 400,000","2015-07-01",4e+05,2452,2500,0
"8",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2900,61,NA,"S2","406 EAST TREMONT AVENUE                  ","            ",10457,2,1,3,1855,4452,1931,1,"S2","$ 399,000","2016-02-24",399000,4452,1855,0
"9",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2912,117,NA,"B1","1538 WASHINGTON AVENUE                   ","            ",10457,2,0,2,2000,2400,1993,1,"B1","$ 493,000","2016-04-13",493000,2400,2000,0
"11",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2912,139,NA,"B1","3823 3 AVENUE                            ","            ",10457,2,0,2,2000,2400,1993,1,"B1","$ 430,000","2015-08-04",430000,2400,2000,0
"13",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2929,126,NA,"B1","1557 FULTON AVENUE                       ","            ",10457,2,0,2,3165,2394,1995,1,"B1","$ 505,000","2015-08-05",505000,2394,3165,0
"14",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3030,149,NA,"S2","2260 WEBSTER AVENUE                      ","            ",10457,2,1,3,1620,3240,1931,1,"S2","$ 550,000","2016-03-11",550000,3240,1620,0
"15",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3030,151,NA,"S2","2264 WEBSTER AVENUE                      ","            ",10457,2,1,3,1620,3240,1931,1,"S2","$ 490,000","2015-09-28",490000,3240,1620,0
"19",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3035,140,NA,"B1","1983 WASHINGTON AVENUE                   ","            ",10457,2,0,2,4124,2340,1998,1,"B1","$ 228,000","2015-11-16",228000,2340,4124,0
"20",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3036,16,NA,"B2","4354 PARK AVENUE                         ","            ",10457,2,0,2,3525,2316,1899,1,"B2","$ 128,778","2015-05-29",128778,2316,3525,0
"22",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3039,30,NA,"B1","469B EAST 184 STREET                     ","            ",10458,2,0,2,741,2133,2006,1,"B1","$ 311,298","2015-09-11",311298,2133,741,0
"24",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3050,65,NA,"B2","508 EAST 183 STREET                      ","            ",10458,2,0,2,1316,2112,1901,1,"B2","$ 449,000","2015-06-08",449000,2112,1316,0
"25",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3050,85,NA,"B1","2241 BATHGATE AVENUE                     ","            ",10457,2,0,2,1562,2536,2004,1,"B1","$ 430,000","2016-02-03",430000,2536,1562,0
"26",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3050,93,NA,"B2","2238 BASSFORD AVENUE                     ","            ",10457,2,0,2,1301,2300,1901,1,"B2","$ 495,000","2016-04-13",495000,2300,1301,0
"27",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3050,93,NA,"B2","2238 BASSFORD AVENUE                     ","            ",10457,2,0,2,1301,2300,1901,1,"B2","$ 261,000","2015-09-25",261000,2300,1301,0
"28",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3053,109,NA,"B3","2315 BASSFORD AVENUE                     ","            ",10458,2,0,2,1202,1966,1901,1,"B3","$ 480,000","2016-03-17",480000,1966,1202,0
"29",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3053,109,NA,"B3","2315 BASSFORD AVENUE                     ","            ",10458,2,0,2,1202,1966,1901,1,"B3","$ 232,215","2015-08-18",232215,1966,1202,0
"30",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3038,125,NA,"C0","468 E 183 STREET                         ","            ",10458,3,0,3,1216,2916,2004,1,"C0","$ 435,919","2015-05-29",435919,2916,1216,0
"32",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3038,126,NA,"C0","470 EAST 183 STREET                      ","            ",10458,3,0,3,1278,2955,2004,1,"C0","$ 400,000","2015-06-18",4e+05,2955,1278,0
"33",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3047,29,NA,"C0","2108 BATHGATE AVE                        ","            ",10457,3,0,3,1650,3316,2005,1,"C0","$ 450,000","2016-02-01",450000,3316,1650,0
"35",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3047,29,NA,"C0","2108 BATHGATE                            ","            ",10457,3,0,3,1650,3316,2005,1,"C0","$ 452,000","2015-09-09",452000,3316,1650,0
"36",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3050,129,NA,"C0","2261 BASSFORD AVENUE                     ","            ",10457,3,0,3,1739,2730,2003,1,"C0","$ 658,620","2015-05-11",658620,2730,1739,0
"37",2,"BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1",3053,122,NA,"C0","508 EAST 184TH STREET                    ","            ",10458,3,0,3,1269,2936,2005,1,"C0","$ 457,314","2015-09-04",457314,2936,1269,0
"105",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4707,20,NA,"A5","1139 EAST 212TH STREET                   ","            ",10469,1,0,1,3203,1890,1945,1,"A5","$ 365,000","2016-03-15",365000,1890,3203,0
"106",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4709,50,NA,"A5","1142 EAST 215 STREET                     ","            ",10469,1,0,1,1710,1732,1945,1,"A5","$ 393,000","2016-03-22",393000,1732,1710,0
"107",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4709,150,NA,"A5","1146 E. 215TH STREET                     ","            ",10469,1,0,1,1710,1732,1945,1,"A5","$ 386,900","2015-08-31",386900,1732,1710,0
"108",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4711,99,NA,"A5","1315 HICKS STREET                        ","            ",10469,1,0,1,1710,1701,1950,1,"A5","$ 330,000","2015-11-04",330000,1701,1710,0
"109",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4711,100,NA,"A5","1313 HICKS STREET                        ","            ",10469,1,0,1,1710,1701,1950,1,"A5","$ 386,000","2015-06-18",386000,1701,1710,0
"110",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4723,6,NA,"A2","3477 MICKLE AVENUE                       ","            ",10469,1,0,1,1918,1024,1945,1,"A2","$ 156,750","2015-11-16",156750,1024,1918,0
"111",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4724,6,NA,"A2","3487 KINGSLAND AVENUE                    ","            ",10469,1,0,1,2288,1480,1925,1,"A2","$ 330,000","2015-10-20",330000,1480,2288,0
"112",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4728,106,NA,"A5","3416 KINGSLAND AVENUE                    ","            ",10469,1,0,1,1740,1224,1960,1,"A5","$ 433,000","2016-04-05",433000,1224,1740,0
"115",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4733,14,NA,"A5","3341 BOUCK AVENUE                        ","            ",10469,1,0,1,1900,1254,1940,1,"A5","$ 385,000","2015-12-21",385000,1254,1900,0
"116",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4733,14,NA,"A5","3341 BOUCK AVENUE                        ","            ",10469,1,0,1,1900,1254,1940,1,"A5","$ 190,000","2015-06-11",190000,1254,1900,0
"117",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4733,17,NA,"A5","3335 BOUCK AVENUE                        ","            ",10469,1,0,1,1900,1254,1940,1,"A5","$ 194,688","2016-01-28",194688,1254,1900,0
"118",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4734,66,NA,"A5","3344 BOUCK AVENUE                        ","            ",10469,1,0,1,1900,1681,1940,1,"A5","$ 379,000","2015-06-30",379000,1681,1900,0
"120",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4735,83,NA,"S1","3304 WILSON AVENUE                       ","            ",10469,1,1,2,2208,2430,1930,1,"S1","$ 320,000","2015-10-20",320000,2430,2208,0
"121",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4736,42,NA,"A5","3310 FISH AVENUE                         ","            ",10469,1,0,1,1800,1690,1935,1,"A5","$ 343,000","2016-02-08",343000,1690,1800,0
"122",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4740,51,NA,"A5","3244 FISH AVENUE                         ","            ",10469,1,0,1,2500,1736,1935,1,"A5","$ 467,500","2015-08-13",467500,1736,2500,0
"126",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4743,129,NA,"A5","3307 EASTCHESTER ROAD                    ","            ",10469,1,0,1,1800,1633,1950,1,"A5","$ 298,700","2015-10-26",298700,1633,1800,0
"127",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4745,35,NA,"A1","1603 GIVAN AVENUE                        ","            ",10469,1,0,1,2774,1378,1920,1,"A1","$ 110,000","2015-07-23",110000,1378,2774,0
"128",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4749,60,NA,"A5","3340 KINGSLAND AVENUE                    ","            ",10469,1,0,1,2375,1960,1955,1,"A5","$ 345,000","2015-11-06",345000,1960,2375,0
"129",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4750,24,NA,"A5","3327 GUNTHER AVENUE                      ","            ",10469,1,0,1,1710,1539,1950,1,"A5","$ 340,000","2016-02-22",340000,1539,1710,0
